Nombre Comunidad Autónoma,Nombre Provincia,Nombre municipio,Número de observaciones muestrales,Población (INE),Población declarante (IRPF),Renta imponible agregada (IRPF),Renta imponible media (por declarante),Renta imponible media (por habitante),Renta mediana,Índice de Gini ,"Índice de Atkinson 0,5",Top 1%,"Top 0,5%","Top 0,1%",Quintil 1,Quintil 2,Quintil 3,Quintil 4,Quintil 5,COD_INE_CAPITAL,LATITUD_ETRS89,LONGITUD_ETRS89,Porcentaje de Poblacion Declarante
Andalucía,Córdoba,Lucena,1766.0,40746.0,16802.0,251429832.56,14964.28,6170.6629499828205,11504.77,0.46341489,0.20301087,11.61329,8.606456,3.637021,3.299369,9.622216,15.52298,20.80262,50.75282,14038,37.40901404,-4.48451348,0.41235949541059247
Andalucía,Córdoba,Montilla,1073.0,23650.0,10249.0,150334586.78,14668.22,6356.642147145877,11371.4,0.46915295,0.19975391,9.113157,5.781892,2.026071,2.957356,8.676314,15.32788,23.52024,49.51821,14042,37.59232558,-4.63785702,0.4333615221987315
Andalucía,Córdoba,Montoro,423.0,9752.0,4068.0,53542975.32,13161.99,5490.46096390484,11514.68,0.42845717,0.16679993,6.578572,4.13161,1.481102,3.532881,10.07544,16.74759,22.93031,46.71378,14043,38.02639376,-4.38130891,0.41714520098441343
Andalucía,Córdoba,Nueva Carteya,310.0,5567.0,2346.0,23729086.200000003,10114.7,4262.45485899048,7334.66,0.44906512,0.17562147,5.358246,2.940503,0.6141493,3.589817,8.931065,15.03366,24.114,48.33146,14046,37.58553839,-4.46660548,0.4214118915035028
Andalucía,Córdoba,Palma del Río,881.0,20855.0,7756.0,104747339.48,13505.33,5022.648740350036,10118.28,0.47839966,0.20368741,7.631448,4.739743,1.870964,2.834188,8.182445,14.88432,23.41608,50.68296,14049,37.70113499,-5.28521754,0.3719012227283625
Andalucía,Córdoba,Peñarroya-Pueblonuevo,364.0,11918.0,4275.0,74244352.5,17367.1,6229.598296694076,15463.31,0.41962825,0.16861991,4.981309,3.331049,1.394645,2.950541,10.1105,17.22895,24.71448,44.99553,14052,38.29876873,-5.26610998,0.3587011243497231
Andalucía,Córdoba,Posadas,294.0,7352.0,2744.0,36085493.36,13150.69,4908.255353645267,10330.85,0.46021758,0.18646657,6.552642,3.689087,0.6297777,3.234236,9.079655,15.57158,22.19528,49.91925,14053,37.80042527,-5.10716405,0.37323177366702937
Andalucía,Córdoba,Pozoblanco,724.0,17307.0,7803.0,129646688.94,16614.98,7490.997223088923,12434.89,0.44726371,0.17755367,7.192034,4.587883,1.405162,3.644022,9.477931,15.08572,23.39233,48.39999,14054,38.37888591,-4.84958064,0.45085803432137284
Andalucía,Córdoba,Priego de Córdoba,1349.0,22999.0,10132.0,126297406.4,12465.2,5491.430340449585,8103.22,0.50428206,0.22498409,11.42854,7.827242,2.346983,3.04435,7.726224,13.35161,22.00921,53.86861,14055,37.43981618,-4.191758999999999,0.4405408930823079
Andalucía,Córdoba,Puente Genil,1018.0,29093.0,10888.0,166205320.0,15265.0,5712.8972605094,12527.16,0.42969254,0.17559015,9.815196,7.255748,3.104784,3.666463,10.67918,16.27668,22.32365,47.05403,14056,37.3883058,-4.77225259,0.3742481009177465
Andalucía,Córdoba,"Rambla, La",321.0,7444.0,2929.0,36496745.92,12460.48,4902.840666308437,10925.19,0.45493023,0.18547532,5.719452,2.885329,0.4186209,2.96151,8.555126,16.80882,23.23771,48.43683,14057,37.60858832,-4.74076968,0.3934712520150457
Andalucía,Córdoba,Rute,501.0,10269.0,4365.0,57574568.25,13190.05,5606.638255915863,9671.46,0.49125172,0.21203805,8.364508,4.848774,0.9553646,3.065722,8.185387,14.21135,22.41404,52.1235,14058,37.32526431,-4.37022684,0.42506573181419804
Andalucía,Córdoba,Santaella,314.0,6022.0,2526.0,29566880.52,11705.02,4909.810780471604,10061.1,0.45151268,0.18481532,6.838721,3.849473,0.7649431,3.125946,8.681134,16.55474,23.84904,47.78913,14060,37.56749755,-4.84662658,0.41946197276652275
Andalucía,Córdoba,Villa del Río,284.0,7443.0,2778.0,38073795.66,13705.47,5115.382998790809,10998.47,0.48447431,0.22839902,13.97429,8.340439,1.438072,2.880003,9.564191,15.51827,19.58449,52.45304,14066,37.98234127,-4.29093006,0.3732365981459089
Andalucía,Córdoba,Villanueva de Córdoba,459.0,9720.0,3899.0,47149476.29,12092.71,4850.76916563786,9331.78,0.47882253,0.20399041,7.447961,4.487756,0.8054469,3.054473,8.340106,15.18592,22.59579,50.82371,14069,38.32241888,-4.62846311,0.40113168724279835
Andalucía,Granada,Albolote,674.0,16450.0,7266.0,147545430.48,20306.28,8969.327080851062,14512.14,0.46470841,0.20348167,12.26128,9.729892,5.05027,3.822213,10.43161,14.11474,21.17405,50.45739,18003,37.23090185,-3.65748033,0.44170212765957445
